index;link;names_surnames;nickname;date_of_birth;place_of_birth;height;profession;famous_movie;number_of_acts;oscars;star_sign
53;https://www.imdb.com/name/nm0000037?ref_=nmls_hd;Gene Kelly;;August 23, 1912;Pittsburgh, Pennsylvania, USA;1.7;Actor;Singin' in the Rain;46;1;Virgo
52;https://www.imdb.com/name/nm0000052?ref_=nmls_hd;Marcello Mastroianni;The Latin Lover;September 28, 1924;Fontana Liri, Lazio, Italy;1.7;Actor;La dolce vita;145;3;Libra
51;https://www.imdb.com/name/nm0000018?ref_=nmls_hd;Kirk Douglas;;December 9, 1916;Amsterdam, New York, USA;1.7;Actor;Spartacus;93;3;Sagittarius
50;https://www.imdb.com/name/nm0000199?ref_=nmls_hd;Al Pacino;Sonny;April 25, 1940;Manhattan, New York City, New York, USA;1.6;Actor;Serpico;62;1;Taurus
49;https://www.imdb.com/name/nm0001376?ref_=nmls_hd;Isabelle Huppert;Izzy;March 16, 1953;Paris, France;1.5;Actress;Elle;146;1;Pisces
48;https://www.imdb.com/name/nm0001050?ref_=nmls_hd;Montgomery Clift;Monty;October 17, 1920;Omaha, Nebraska, USA;1.7;Actor;From Here to Eternity;18;4;Libra
100;https://www.imdb.com/name/nm0010736?ref_=nmls_hd;Amy Adams;;August 20, 1974;Vicenza, Veneto, Italy;1.6;Actress;Arrival;64;6;Leo
47;https://www.imdb.com/name/nm0000267?ref_=nmls_hd;Julie Andrews;Jules;October 1, 1935;Walton-on-Thames, Surrey, England, UK;1.7;Actress;The Sound of Music;49;1;Libra
200;https://www.imdb.com/name/nm0000702?ref_=nmls_hd;Reese Witherspoon;;March 22, 1976;New Orleans, Louisiana, USA;1.5;Actress;Wild;61;1;Aries
300;https://www.imdb.com/name/nm0000379?ref_=nmls_hd;Kirsten Dunst;Kiki;April 30, 1982;Point Pleasant, New Jersey, USA;1.7;Actress;Spider-Man;87;3;Taurus
400;https://www.imdb.com/name/nm0002084?ref_=nmls_hd;Brenda Fricker;;February 17, 1945;Dublin, Ireland;1.6;Actress;My Left Foot: The Story of Christy Brown;87;1;Aquarius
600;https://www.imdb.com/name/nm0001767?ref_=nmls_hd;Imelda Staunton;;January 9, 1956;Archway, London, England, UK;1.5;Actress;Harry Potter and the Order of the Phoenix;105;1;Capricorn
500;https://www.imdb.com/name/nm0915208?ref_=nmls_hd;Naomi Watts;Queen of Remakes;September 28, 1968;Shoreham, Kent, England, UK;1.6;Actress;Mulholland Dr.;89;2;Libra
700;https://www.imdb.com/name/nm1128572?ref_=nmls_hd;Lake Bell;;March 24, 1979;New York City, New York, USA;1.7;Actress;In a World...;58;614;Aries
800;https://www.imdb.com/name/nm0540441?ref_=nmls_hd;Jena Malone;;November 21, 1984;Sparks, Nevada, USA;1.6;Actress;The Hunger Games: Mockingjay - Part 2;79;1;Scorpio
900;https://www.imdb.com/name/nm6073955?ref_=nmls_hd;Florence Pugh;Flossie Rose;January 3, 1996;Oxford, Oxfordshire, England, UK;1.6;Actress;The Falling;21;1;Capricorn
